School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Latitude,Longitude,img_url_list,url_list
Florida International University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Miami, FL",www.fiu.edu,www.fiusports.com,25.7742658,-80.1936589,https://digicdn.fiu.edu/v1/_assets/images/fiu-main-logo.png,https://www.fiu.edu
Florida Gulf Coast University,Division I,Division I,DI Subdivision,Active Member,ASUN Conference,ASUN Conference,Non-HBCU,Public,Master's Colleges & Universities,"Fort Myers, FL",www.fgcu.edu,www.fgcuathletics.com,26.640628,-81.8723084,https://fgcucdn.fgcu.edu/_resources/images/logo-blue@2x.png,https://www.fgcu.edu
Embry-Riddle Aeronautical University (Florida),Division II,Division II,Non-DI,Active Member,Sunshine State Conference,Sunshine State Conference,Non-HBCU,Private,Master's Colleges & Universities,"Daytona Beach, FL",www.erau.edu,www.erauathletics.com,29.2108147,-81.0228331,/-/media/ui-images/university/erau-logo.png,https://erau.edu/
Stetson University,Division I,Division I,DI FCS,Active Member,ASUN Conference,ASUN Conference,Non-HBCU,Private,Master's Colleges & Universities,"DeLand, FL",www.gohatters.com,www.stetson.edu/,29.0283213,-81.3031098,/images/stetson_footer_logo.png,https://gohatters.com/
Fort Hays State University,Division II,Division II,Non-DI,Active Member,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate Athletics Association,Non-HBCU,Public,Master's Colleges & Universities,"Hays, KS",www.fhsu.edu,www.fhsuathletics.com,38.8791783,-99.3267702,_files/images/fhsu-logo.png,https://www.fhsu.edu
University of Louisiana at Lafayette,Division I,Division I,DI FBS,Active Member,Sun Belt Conference,Sun Belt Conference,Non-HBCU,Public,Research Universities,"Lafayette, LA",www.louisiana.edu/,www.ragincajuns.com,30.2240897,-92.0198427,https://www.louisiana.edu/sites/louisiana/files/ull-logo_0.png,https://www.louisiana.edu/
Newman University,Division II,Division II,Non-DI,Active Member,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate Athletics Association,Non-HBCU,Private,Master's Colleges & Universities,"Wichita, KS",www.newmanjets.com,www.newmanu.edu,37.6922361,-97.3375448,/images/responsive/nav_logo.png,https://newmanjets.com/
Northern State University,Division II,Division II,Non-DI,Active Member,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,Non-HBCU,Public,Master's Colleges & Universities,"Aberdeen, SD",nsuwolves.com,www.northern.edu,45.4649805,-98.487813,https://dbukjj6eu5tsf.cloudfront.net/nsuwolvesathletics.com/images/responsive_2019/main_logo.svg,https://nsuwolves.com
Minot State University,Division II,Division II,Non-DI,Active Member,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,Non-HBCU,Public,Master's Colleges & Universities,"Minot, ND",www.minotstateu.edu,www.msubeavers.com,48.23251,-101.296273,//www.minotstateu.edu/_flint/_images/logo_2018.svg,https://www.minotstateu.edu
University of Mary,Division II,Division II,Non-DI,Active Member,Northern Sun Intercollegiate Conference,Northern Sun Intercollegiate Conference,Non-HBCU,Private,Research Universities,"Bismarck, ND",www.goumary.com,www.umary.edu/,46.808327,-100.783739,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/goumary.com/images/responsive/main_logo.svg,https://goumary.com/
University of Kansas,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Lawrence, KS",www.ku.edu,www.kuathletics.com,38.9719384,-95.2359496,/themes/custom/afghan/logo.svg,https://www.ku.edu
South Dakota State University,Division I,Division I,DI FCS,Active Member,The Summit League,The Summit League,Non-HBCU,Public,Research Universities,"Brookings, SD",www.gojacks.com,www.sdstate.edu,44.3763598,-96.7925213,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/sdstate.sidearmsports.com/responsive_2020/images/svgs/logo_main2.svg,https://gojacks.com/
Creighton University,Division I,Division I,DI Subdivision,Active Member,Big East Conference,Big East Conference,Non-HBCU,Private,Research Universities,"Omaha, NE",www.creighton.edu,www.gocreighton.com,41.2587459,-95.9383758,https://www.creighton.edu/sites/all/themes/custom/web_themes/creighton_2016/images/logos/cu_logo_2x.png,https://www.creighton.edu
"University of Nebraska, Lincoln",Division I,Division I,DI FBS,Active Member,Big Ten Conference,Big Ten Conference,Non-HBCU,Public,Research Universities,"Lincoln, NE",www.huskers.com,www.unl.edu,40.8088861,-96.7077751,https://dbukjj6eu5tsf.cloudfront.net/huskers.com/images/responsive/logo_main.svg,https://huskers.com/
University of Nebraska Omaha,Division I,Division I,DI Subdivision,Active Member,The Summit League,The Summit League,Non-HBCU,Public,Research Universities,"Omaha, NE",www.omavs.com,www.unomaha.edu/,41.2587459,-95.9383758,/images/main_logo.png,https://omavs.com/
Gettysburg College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Gettysburg, PA",gettysburgsports.com,www.gettysburg.edu,39.8308973,-77.231012,/images/responsive/sport_top_logo.png,https://gettysburgsports.com
Gannon University,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Private,Research Universities,"Erie, PA",www.gannon.edu,www.gannon.edu/sports,42.1294712,-80.0852695,https://www.gannon.edu/images/ele/ihacklogo.png,https://www.gannon.edu
Emporia State University,Division II,Division II,Non-DI,Active Member,Mid-America Intercollegiate Athletics Association,Mid-America Intercollegiate Athletics Association,Non-HBCU,Public,Master's Colleges & Universities,"Emporia, KS",www.emporia.edu,www.esuhornets.com/,38.4040054,-96.181623,/static/images/esu-logo.svg,https://www.emporia.edu
Oklahoma State University,Division I,Division I,DI FBS,Active Member,Big 12 Conference,Big 12 Conference,Non-HBCU,Public,Research Universities,"Stillwater, OK",www.okstate.com,www.okstate.edu,36.1156306,-97.0585717,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/okstate.com/images/responsive2019/okstate_logo.svg,https://okstate.com/
Wichita State University,Division I,Division I,DI Subdivision,Active Member,American Athletic Conference,American Athletic Conference,Non-HBCU,Public,Research Universities,"Wichita, KS",www.goshockers.com,www.wichita.edu,37.6922361,-97.3375448,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/wichita.sidearmsports.com/images/responsive/main_logo.svg,https://goshockers.com/
Mount Aloysius College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Baccalaureate Colleges,"Cresson, PA",www.mountieathletics.com,www.mtaloy.edu,40.4597938,-78.5916837,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/mtaloy.sidearmsports.com/images/responsive/nav_logo.svg,https://mountieathletics.com/
Shippensburg University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Shippensburg, PA",www.ship.edu,www.shipraiders.com,40.0562262,-77.5139074,/static/img/logo.png,https://www.ship.edu
"Penn State University, Altoona",Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Public,Baccalaureate Colleges,"Altoona, PA",www.altoona.psu.edu,www.altoona.psu.edu/sports,40.518681,-78.394736,/sites/altoona/files/logos/map_aa.png,https://altoona.psu.edu/
Allegheny College,Division III,Division III,Non-DI,Active Member,North Coast Athletic Conference,North Coast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Meadville, PA",www.allegheny.edu,www.alleghenygators.com,41.641445,-80.151449,https://32amrl22cbm9350e021ddd81-wpengine.netdna-ssl.com/wp-content/themes/achome-2/img/logo-mya.png,https://allegheny.edu/
Clarion University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Clarion, PA",www.clarion.edu,www.clariongoldeneagles.com/,41.1818771,-79.429169,/_resources/img/sshe-logo.jpg,https://www.clarion.edu
Chatham University,Division III,Division III,Non-DI,Active Member,Presidents' Athletic Conference,Presidents' Athletic Conference,Non-HBCU,Private,Research Universities,"Pittsburgh, PA",www.chatham.edu,www.gochathamcougars.com,40.4416941,-79.9900861,/_assets/img/chatham-horizontal-logo.svg,https://www.chatham.edu
Thiel College,Division III,Division III,Non-DI,Active Member,Presidents' Athletic Conference,Presidents' Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Greenville, PA",www.thiel.edu,www.thielathletics.com,31.8295972,-86.6177517,/assets/images/content/new-thiel-logo-white.png,https://www.thiel.edu
"University of Pittsburgh, Greensburg",Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Public,Baccalaureate Colleges,"Greensburg, PA",pittgreensburgathletics.com/,www.greensburg.pitt.edu/,40.3014581,-79.5389289,/images/responsive/upg_logo_yellow.svg,https://pittgreensburgathletics.com/
Saint Vincent College,Division III,Division III,Non-DI,Active Member,Presidents' Athletic Conference,Presidents' Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Latrobe, PA",athletics.stvincent.edu/,www.stvincent.edu,40.317287,-79.3840301,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/stvincent.sidearmsports.com/images/responsive_2018/nav_logo.svg,https://athletics.stvincent.edu/
Slippery Rock University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Slippery Rock, PA",www.rockathletics.com,www.sru.edu/,41.0639506,-80.0564468,https://dbukjj6eu5tsf.cloudfront.net/sidearm.sites/rockathletics.com/images/responsive_2020/main_logo.svg,https://rockathletics.com/
Westminster College (Missouri),Division III,Division III,Non-DI,Active Member,St. Louis Intercollegiate Athletic Conference,St. Louis Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Fulton, MO",www.wcbluejays.com/landing/index,www.westminster-mo.edu/,38.8467082,-91.9479586,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
DePauw University,Division III,Division III,Non-DI,Active Member,North Coast Athletic Conference,North Coast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Greencastle, IN",depauwtigers.com/landing/index,www.depauw.edu,39.6444898,-86.8647316,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Kalamazoo College,Division III,Division III,Non-DI,Active Member,Michigan Intercol. Ath. Assn.,Michigan Intercol. Ath. Assn.,Non-HBCU,Private,Baccalaureate Colleges,"Kalamazoo, MI",hornets.kzoo.edu/landing/index,www.kzoo.edu/,42.291707,-85.5872286,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Southern Virginia University,Division III,Division III,Non-DI,Active Member,Capital Athletic Conference Inc.,Capital Athletic Conference Inc.,Non-HBCU,Private,Baccalaureate Colleges,"Buena Vista, VA",athletics.svu.edu/landing/index,www.svu.edu,37.7342962,-79.3539292,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Virginia Wesleyan University,Division III,Division III,Non-DI,Active Member,Old Dominion Athletic Conf.,Old Dominion Athletic Conf.,Non-HBCU,Private,Baccalaureate Colleges,"Virginia Beach, VA",vwcathletics.com/landing/index,www.vwc.edu/,36.8529841,-75.9774183,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
University of Findlay,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Research Universities,"Findlay, OH",athletics.findlay.edu/landing/index,www.findlay.edu,41.0413873,-83.6503982,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Franklin College,Division III,Division III,Non-DI,Active Member,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Franklin, IN",franklingrizzlies.com/landing/index,www.franklincollege.edu,39.4149034,-85.0563234,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Bellarmine University,Division II,Division II,Non-DI,Active Member,Great Lakes Valley Conference,Great Lakes Valley Conference,Non-HBCU,Private,Research Universities,"Louisville, KY",athletics.bellarmine.edu/index.aspx,www.bellarmine.edu,38.2542376,-85.759407,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
State University of New York at Oswego,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Oswego, NY",oswegolakers.com/index.aspx,www.oswego.edu/index,43.4112973,-76.1279841,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
D'Youville College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Research Universities,"Buffalo, NY",athletics.dyc.edu/landing/index,www.dyc.edu,42.8867166,-78.8783922,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
University of Scranton,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Master's Colleges & Universities,"Scranton, PA",athletics.scranton.edu/landing/index,www.scranton.edu,41.4086874,-75.6621294,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Moravian College,Division III,Division III,Non-DI,Active Member,Landmark Conference,Landmark Conference,Non-HBCU,Private,Baccalaureate Colleges,"Bethlehem, PA",moraviansports.com/landing/index,www.moravian.edu,-1.45056,-48.4682453,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Millersville University of Pennsylvania,Division II,Division II,Non-DI,Active Member,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Millersville, PA",www.millersville.edu/index.php,www.millersvilleathletics.com/index.aspx,39.997998,-76.3545372,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
"Fairleigh Dickinson University, Florham",Division III,Division III,Non-DI,Active Member,Middle Atlantic Conferences,Middle Atlantic Conference Freedom,Non-HBCU,Private,Master's Colleges & Universities,"Madison, NJ",fdudevils.com/index.aspx,www.view2.fdu.edu/campuses-and-centers/florham-campus/,40.7598227,-74.417097,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Wilmington University (Delaware),Division II,Division II,Non-DI,Active Member,Central Atlantic Collegiate Conference,Central Atlantic Collegiate Conference,Non-HBCU,Private,Research Universities,"New Castle, DE",athletics.wilmu.edu/landing/index,www.wilmu.edu/index.aspx,39.6620572,-75.5663132,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
University of Maine at Presque Isle,Division III,Division III,Non-DI,Active Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Presque Isle, ME",owls.umpi.edu/landing/index,www.umpi.edu,46.681479,-68.016357,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Gordon College,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Baccalaureate Colleges,"Wenham, MA",athletics.gordon.edu/index.aspx,www.gordon.edu,42.60428065,-70.89315706857332,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Tufts University,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Research Universities,"Medford, MA",www.gotuftsjumbos.com/landing/index,www.tufts.edu/,42.4184296,-71.1061639,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Williams College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Williamstown, MA",athletics.williams.edu/landing/index,www.williams.edu/,42.6889156,-73.2246057,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Willamette University,Division III,Division III,Non-DI,Active Member,Northwest Conference,Northwest Conference,Non-HBCU,Private,Baccalaureate Colleges,"Salem, OR",willamette.prestosports.com/landing/index,www.willamette.edu/,44.9391565,-123.033121,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Colorado School of Mines,Division II,Division II,Non-DI,Active Member,Rocky Mountain Athletic Conference,Rocky Mountain Athletic Conference,Non-HBCU,Public,Research Universities,"Golden, CO",www.csmorediggers.com/landing/index,www.mines.edu,39.755543,-105.2210997,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Johnson & Wales University (Denver),Division III,Division III,Non-DI,Provisional Member,Southern Collegiate Athletic Conference,Southern Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Denver, CO",denver.jwuathletics.com/landing/index,www.jwu.edu/campuses/denver/index.html,39.7392364,-104.9848623,/images/setup/2017_footer_logo_pretso.png,https://larochesports.com/landing/index
Franklin & Marshall College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Baccalaureate Colleges,"Lancaster, PA",www.fandm.edu,www.godiplomats.com,40.08067,-76.2411283,/images/fm-logo-blue.png,https://www.fandm.edu
McDaniel College,Division III,Division III,Non-DI,Active Member,Centennial Conference,Centennial Conference,Non-HBCU,Private,Master's Colleges & Universities,"Westminster, MD",www.mcdaniel.edu/,www.mcdaniel.edu/athletics,39.5752639,-76.9959277,/themes/custom/newcity/logo.svg,https://www.mcdaniel.edu/
Westminster College (Missouri),Division III,Division III,Non-DI,Active Member,St. Louis Intercollegiate Athletic Conference,St. Louis Intercollegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Fulton, MO",www.wcbluejays.com/landing/index,www.westminster-mo.edu/,38.8467082,-91.9479586,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
DePauw University,Division III,Division III,Non-DI,Active Member,North Coast Athletic Conference,North Coast Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Greencastle, IN",depauwtigers.com/landing/index,www.depauw.edu,39.6444898,-86.8647316,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
Kalamazoo College,Division III,Division III,Non-DI,Active Member,Michigan Intercol. Ath. Assn.,Michigan Intercol. Ath. Assn.,Non-HBCU,Private,Baccalaureate Colleges,"Kalamazoo, MI",hornets.kzoo.edu/landing/index,www.kzoo.edu/,42.291707,-85.5872286,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
Southern Virginia University,Division III,Division III,Non-DI,Active Member,Capital Athletic Conference Inc.,Capital Athletic Conference Inc.,Non-HBCU,Private,Baccalaureate Colleges,"Buena Vista, VA",athletics.svu.edu/landing/index,www.svu.edu,37.7342962,-79.3539292,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
Virginia Wesleyan University,Division III,Division III,Non-DI,Active Member,Old Dominion Athletic Conf.,Old Dominion Athletic Conf.,Non-HBCU,Private,Baccalaureate Colleges,"Virginia Beach, VA",vwcathletics.com/landing/index,www.vwc.edu/,36.8529841,-75.9774183,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
University of Findlay,Division II,Division II,Non-DI,Active Member,Great Midwest Athletic Conference,Great Midwest Athletic Conference,Non-HBCU,Private,Research Universities,"Findlay, OH",athletics.findlay.edu/landing/index,www.findlay.edu,41.0413873,-83.6503982,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
Franklin College,Division III,Division III,Non-DI,Active Member,Heartland Collegiate Athletic Conference,Heartland Collegiate Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Franklin, IN",franklingrizzlies.com/landing/index,www.franklincollege.edu,39.4149034,-85.0563234,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
Bellarmine University,Division II,Division II,Non-DI,Active Member,Great Lakes Valley Conference,Great Lakes Valley Conference,Non-HBCU,Private,Research Universities,"Louisville, KY",athletics.bellarmine.edu/index.aspx,www.bellarmine.edu,38.2542376,-85.759407,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
State University of New York at Oswego,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Oswego, NY",oswegolakers.com/index.aspx,www.oswego.edu/index,43.4112973,-76.1279841,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
D'Youville College,Division III,Division III,Non-DI,Active Member,Allegheny Mountain Collegiate Conference,Allegheny Mountain Collegiate Conference,Non-HBCU,Private,Research Universities,"Buffalo, NY",athletics.dyc.edu/landing/index,www.dyc.edu,42.8867166,-78.8783922,/images/setup/2014/footer_logo_05.png,https://www.washingtoncollegesports.com/landing/index
